image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE
0,2,1,random_binary,0.0,0.05961444228887558,0.18609854578971863,18.267085085680332,0.33146034176965966,0.16007161140441895,31.2525691986084,6.559894700330915e-06
1,2,1,random_binary,0.0,0.06690791994333267,0.1987123191356659,17.7658244647522,0.3550024686051337,0.1652531772851944,33.10920715332031,6.748152827640297e-06
2,2,1,random_binary,0.0,0.07066556066274643,0.20384064316749573,17.528521902038648,0.3367420680793201,0.15730156004428864,34.0262336730957,6.669194590358529e-06
3,2,1,random_binary,0.0,0.06782820075750351,0.2002541869878769,17.70649684278523,0.3300706803601787,0.17751222848892212,33.33612823486328,6.688548182864906e-06
4,2,1,random_binary,0.0,0.060632750391960144,0.18837496638298035,18.193527154976337,0.34698101243347207,0.1709795892238617,31.518360137939453,6.624460183957126e-06
5,2,1,random_binary,0.0,0.05886583402752876,0.18634217977523804,18.32196691868479,0.3430330713717895,0.18646922707557678,31.055723190307617,6.888540156069212e-06
6,2,1,random_binary,0.0,0.06184987351298332,0.1900883913040161,18.10721178442356,0.3426866266334706,0.13611282408237457,31.833133697509766,6.598761046916479e-06
7,2,1,random_binary,0.0,0.05895169824361801,0.18537649512290955,18.315636847124807,0.3474008831638475,0.15686430037021637,31.0783634185791,6.939259037608281e-06
8,2,1,random_binary,0.0,0.06713385879993439,0.19881217181682587,17.751183907480616,0.34177418542797927,0.17532628774642944,33.16505813598633,6.776342161174398e-06
9,2,1,random_binary,0.0,0.06343425810337067,0.19310417771339417,17.997361011913867,0.3524333720273129,0.18714264035224915,32.23828125,6.599463631573599e-06
10,2,1,random_binary,0.0,0.061770230531692505,0.18990445137023926,18.112807746699,0.33019331535600144,0.17825649678707123,31.81262969970703,6.488010512839537e-06
11,2,1,random_binary,0.0,0.057907652109861374,0.18400457501411438,18.393240325427072,0.34637915055145385,0.16224339604377747,30.801931381225586,6.728180323989363e-06
12,2,1,random_binary,0.0,0.0586811900138855,0.18502473831176758,18.33561077688597,0.3617647042679467,0.1906166672706604,31.006977081298828,6.714346454828046e-06
13,2,1,random_binary,0.0,0.06800562143325806,0.19908683001995087,17.695151683558187,0.34899854094655464,0.18242071568965912,33.379695892333984,7.012780770310201e-06
14,2,1,random_binary,0.0,0.0625908225774765,0.19123095273971558,18.055493624012566,0.35216669027092523,0.1788562536239624,32.02324295043945,6.59712486594799e-06
15,2,1,random_binary,0.0,0.06403262168169022,0.1939605176448822,17.956587060837293,0.3524166763904433,0.1586674600839615,32.389976501464844,6.874058726680232e-06
