image_id,block_size,num_masks,mask_type,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE
0,2,1,random_binary,0.27362877130508423,0.37368613481521606,11.648982497627953,0.10438748704845571,0.25902682542800903,66.95620727539062,1.5041858205222525e-05
1,2,1,random_binary,0.27464979887008667,0.3735857903957367,11.632806962982944,0.1255815564228901,0.25053319334983826,67.08101654052734,1.3060805031273048e-05
2,2,1,random_binary,0.28952232003211975,0.3858177363872528,11.403779263885912,0.11672050965345553,0.25553229451179504,68.8733139038086,1.5236852050293237e-05
3,2,1,random_binary,0.2811533212661743,0.3770851790904999,11.531167712129037,0.12259139451384574,0.22218897938728333,67.8705825805664,1.3445376680465415e-05
4,2,1,random_binary,0.2711869478225708,0.3722449541091919,11.68791225476059,0.11636536943136766,0.22022929787635803,66.65678405761719,1.404360773449298e-05
5,2,1,random_binary,0.2765754163265228,0.37501487135887146,11.602464348183073,0.1172719838665839,0.27283793687820435,67.31575775146484,1.4082773304835428e-05
6,2,1,random_binary,0.27879294753074646,0.376426637172699,11.56778211368569,0.11282602553364764,0.23499296605587006,67.5850830078125,1.1973625078098848e-05
7,2,1,random_binary,0.2847413122653961,0.37942084670066833,11.4760951546427,0.11357002662464112,0.22719813883304596,68.30228424072266,1.4904799172654748e-05
8,2,1,random_binary,0.2797713875770569,0.37758833169937134,11.552567030528401,0.12504954072511185,0.22904928028583527,67.70357513427734,1.4797467883909121e-05
9,2,1,random_binary,0.28998512029647827,0.3840791881084442,11.396842868485138,0.10406589803277667,0.23775120079517365,68.9283447265625,1.2980259270989336e-05
10,2,1,random_binary,0.2883877456188202,0.3822336196899414,11.42083164324432,0.102926748074628,0.28309884667396545,68.73823547363281,1.2904640243505128e-05
11,2,1,random_binary,0.2727258503437042,0.37246817350387573,11.663336824204375,0.11492098033169729,0.2661880552768707,66.84564208984375,1.3596843018603977e-05
12,2,1,random_binary,0.2742723226547241,0.3742865324020386,11.638779956279953,0.10916448576286322,0.2473987191915512,67.03489685058594,1.2292075552977622e-05
13,2,1,random_binary,0.29141736030578613,0.38642418384552,11.375445383289994,0.11066183925997605,0.27346664667129517,69.09835052490234,1.5383047866635025e-05
14,2,1,random_binary,0.2782937288284302,0.37572604417800903,11.5755660002599,0.10984915732905919,0.24137307703495026,67.52454376220703,1.4016597560839728e-05
15,2,1,random_binary,0.27748459577560425,0.37399953603744507,11.588210832985851,0.11399610809117047,0.2404787242412567,67.42631530761719,1.4096598533797078e-05
