image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE
0,2,1,random_binary,0.0,0.059366632252931595,0.18606248497962952,18.285175880073865,0.34041393212939436,0.1677963137626648,31.187543869018555,6.856247637188062e-06
1,2,1,random_binary,0.0,0.0551644004881382,0.1800786554813385,18.604010817009204,0.3603202621836111,0.13356979191303253,30.063491821289062,6.632531039940659e-06
2,2,1,random_binary,0.0,0.05442720651626587,0.17851011455059052,18.662439305299245,0.36134891630786437,0.16440147161483765,29.8619384765625,6.930645213287789e-06
3,2,1,random_binary,0.0,0.06733699142932892,0.19802862405776978,17.73806249587912,0.3374664680845542,0.16980741918087006,33.21519470214844,6.786137419112492e-06
4,2,1,random_binary,0.0,0.0759400874376297,0.21094197034835815,17.215889024162422,0.3253105705539612,0.18448904156684875,35.27325439453125,6.764796125935391e-06
5,2,1,random_binary,0.0,0.06035010144114494,0.1881178617477417,18.213819822496646,0.3360053358265133,0.17348822951316833,31.444808959960938,6.616250630031573e-06
6,2,1,random_binary,0.0,0.05896686762571335,0.18575085699558258,18.314519361294938,0.3379009338981687,0.19225293397903442,31.082361221313477,6.53167762720841e-06
7,2,1,random_binary,0.0,0.07080480456352234,0.20300927758216858,17.519972868352767,0.35083369321892005,0.1909744143486023,34.05974197387695,6.673936695733573e-06
8,2,1,random_binary,0.0,0.0646834671497345,0.19427800178527832,17.912666837394106,0.35802239952976866,0.16618004441261292,32.55417251586914,6.5789417931227945e-06
9,2,1,random_binary,0.0,0.05563097447156906,0.17947933077812195,18.567433210826163,0.3925697821723031,0.18914097547531128,30.19036102294922,6.954152922844514e-06
