image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE
0,2,1,superres,0.0,0.5699604749679565,0.6418448090553284,8.462152268398912,0.05350022650189763,0.26778310537338257,96.63452911376953,0.21157988905906677
1,2,1,superres,0.0,0.581003725528717,0.6531400084495544,8.378810857905318,0.06341595902558443,0.3476240336894989,97.56620788574219,0.17274968326091766
2,2,1,superres,0.0,0.5742997527122498,0.6495774984359741,8.429213683137327,0.06890541971588086,0.3088170886039734,97.0016860961914,0.15193825960159302
3,2,1,superres,0.0,0.5823055505752563,0.6540296673774719,8.369090625701737,0.054677814293519734,0.3103581666946411,97.67545318603516,0.1636982560157776
4,2,1,superres,0.0,0.579517662525177,0.6538211107254028,8.389933012929742,0.05394454048387963,0.30888664722442627,97.44135284423828,0.17300620675086975
5,2,1,superres,0.0,0.5771058797836304,0.6516587734222412,8.408044655340564,0.04627315521242506,0.3473471701145172,97.2383804321289,0.1777706742286682
6,2,1,superres,0.0,0.5779210329055786,0.6525404453277588,8.401915243095505,0.054151025718148456,0.30164533853530884,97.3070297241211,0.17296144366264343
7,2,1,superres,0.0,0.5667526721954346,0.6388319134712219,8.486664076301041,0.04676882033000972,0.31592991948127747,96.36221313476562,0.21380236744880676
8,2,1,superres,0.0,0.5702542066574097,0.6459101438522339,8.459914969884963,0.06996815037159837,0.2739657163619995,96.659423828125,0.14593619108200073
9,2,1,superres,0.0,0.578347384929657,0.6527289152145386,8.398712067390225,0.06008429785854431,0.30321189761161804,97.3429183959961,0.16815495491027832
10,2,1,superres,0.0,0.581716775894165,0.6551010012626648,8.373483895435358,0.047625214069037025,0.3294050693511963,97.62606048583984,0.14559760689735413
11,2,1,superres,0.0,0.5713930130004883,0.6460157632827759,8.451250533116063,0.05506028497927531,0.2869813144207001,96.75589752197266,0.17317628860473633
12,2,1,superres,0.0,0.5658717155456543,0.6434231996536255,8.49342019658368,0.05395571666526034,0.2883835434913635,96.28729248046875,0.1654970943927765
13,2,1,superres,0.0,0.5753216743469238,0.6463121175765991,8.421492824852685,0.06035526077243208,0.33624932169914246,97.08794403076172,0.1856069564819336
14,2,1,superres,0.0,0.5807512998580933,0.6528967022895813,8.380697994259434,0.044546645193677174,0.3152450919151306,97.54501342773438,0.16295331716537476
15,2,1,superres,0.0,0.5733534097671509,0.6486246585845947,8.436375976318171,0.06076090549314282,0.29484304785728455,96.9217300415039,0.1589536964893341
