image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE,mask_prob,method,protein
0,1,1,fourier_radial,0.0,0.0657555982470512,0.2042641937732696,17.841272364916325,0.315701660799452,0.1938912272453308,32.822853088378906,1.7397127294316308e-07,0.1,dct,EMPIAR10076_128
1,1,1,fourier_radial,0.0,0.0819984823465347,0.2282938361167907,16.882541772801545,0.2808782571002267,0.2310688644647598,36.653282165527344,2.95514610115788e-07,0.1,dct,EMPIAR10076_128
2,1,1,fourier_radial,0.0,0.0710789859294891,0.2122102230787277,17.503187699996957,0.2852506221524287,0.2173716425895691,34.1256217956543,1.112153853455311e-07,0.1,dct,EMPIAR10076_128
3,1,1,fourier_radial,0.0,0.0851734578609466,0.2333671748638153,16.717556961799744,0.2759820629623653,0.1738170236349105,37.35615158081055,5.026609528613335e-07,0.1,dct,EMPIAR10076_128
4,1,1,fourier_radial,0.0,0.079361617565155,0.2256103157997131,17.024494730351382,0.2888689479995007,0.206645980477333,36.05912780761719,1.114723104933546e-07,0.1,dct,EMPIAR10076_128
5,1,1,fourier_radial,0.0,0.0647988468408584,0.2022685706615448,17.90492684279026,0.2911050987052664,0.2061924189329147,32.58319091796875,1.5164438593728846e-07,0.1,dct,EMPIAR10076_128
6,1,1,fourier_radial,0.0,0.0759741365909576,0.2197396904230117,17.21394200850859,0.2839260099146106,0.2623562812805176,35.281158447265625,8.361846266780049e-05,0.1,dct,EMPIAR10076_128
7,1,1,fourier_radial,0.0,0.0714389681816101,0.2125717997550964,17.481247866507996,0.3070421675331941,0.1841703504323959,34.21192932128906,1.60171481411453e-07,0.1,dct,EMPIAR10076_128
8,1,1,fourier_radial,0.0,0.0774399265646934,0.2214864194393158,17.130950387125583,0.2608057789045354,0.1951267272233963,35.61988067626953,0.0034694636706262,0.1,dct,EMPIAR10076_128
9,1,1,fourier_radial,0.0,0.0742916315793991,0.2167936563491821,17.31120136083708,0.2952966203832567,0.2556177079677582,34.888309478759766,1.2693693918208737e-07,0.1,dct,EMPIAR10076_128
10,1,1,fourier_radial,0.0,0.0703517198562622,0.2114232629537582,17.54785260136525,0.2763811318142304,0.2054731398820877,33.950592041015625,9.075933485291898e-05,0.1,dct,EMPIAR10076_128
11,1,1,fourier_radial,0.0,0.0701565891504287,0.2110074609518051,17.559915495257535,0.2658906796119137,0.2264842092990875,33.903472900390625,1.1979547309692862e-07,0.1,dct,EMPIAR10076_128
12,1,1,fourier_radial,0.0,0.0818394124507904,0.2275139093399047,16.89097489766847,0.2848421863325737,0.2516552209854126,36.617713928222656,0.0002537488180678,0.1,dct,EMPIAR10076_128
13,1,1,fourier_radial,0.0,0.0669674128293991,0.2060719579458236,17.761964580209973,0.284340812659747,0.2239538878202438,33.12392044067383,1.240579763361893e-07,0.1,dct,EMPIAR10076_128
14,1,1,fourier_radial,0.0,0.0739921033382415,0.2168648242950439,17.32874599133374,0.2723297300338762,0.2364085614681244,34.817909240722656,9.917041552398589e-07,0.1,dct,EMPIAR10076_128
15,1,1,fourier_radial,0.0,0.0710975527763366,0.2121298015117645,17.502053220982038,0.2623235292598818,0.2298793494701385,34.13007736206055,1.1406457645080081e-07,0.1,dct,EMPIAR10076_128
0,1,1,fourier_radial,0.0,0.0706712752580642,0.2112034559249878,17.52817062323666,0.2627900011270685,0.2893407642841339,34.027610778808594,0.0003362873685546,0.1,dct,EMPIAR10076_128
1,1,1,fourier_radial,0.0,0.0834948569536209,0.2305618226528167,16.804002475753204,0.2676418098930371,0.229318231344223,36.986209869384766,1.5462714486602638e-07,0.1,dct,EMPIAR10076_128
2,1,1,fourier_radial,0.0,0.0718876495957374,0.2147728502750396,17.45405705152222,0.2658623181625705,0.237264335155487,34.31919479370117,2.449551539029926e-05,0.1,dct,EMPIAR10076_128
